央视频道,#genre#
内蒙古卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.55:5146
青海卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.71:5146
青海卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.70:5146
海南卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.72:5146
海南卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.51:5146
海南卫视,http://sxd.nyxg.vip:40000/udp/239.253.43.35:5146
海南卫视,http://sxd.nyxg.vip:40000/udp/239.253.43.101:5146
宁夏卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.73:5146
宁夏卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.47:5146
西藏卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.74:5146
西藏卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.49:5146
新疆卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.75:5146
新疆卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.53:5146
甘肃卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.76:5146
甘肃卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.57:5146
甘肃卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.189:5146
兵团卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.77:5146
兵团卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.80:5146
厦门卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.96:5146
三沙卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.152:5146
三沙卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.117:5146
三沙卫视,http://sxd.nyxg.vip:40000/udp/239.253.43.113:5146
延边卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.10:5146
延边卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.99:5146
兵器科技,http://sxd.nyxg.vip:40000/udp/239.253.43.18:5146
兵器科技,http://sxd.nyxg.vip:40000/udp/239.253.43.9:5146
电视指南,http://sxd.nyxg.vip:40000/udp/239.253.43.19:5146
电视指南,http://sxd.nyxg.vip:40000/udp/239.253.43.10:5146

数字频道,#genre#
CHC高清电影,http://sxd.nyxg.vip:40000/udp/239.77.0.27:5146
CHC动作电影,https://iptv.luas.edu.cn/liverespath/e0096742f0c5be4c5225cf3c7ab1077177bec05f/7b32f53261-0-0-3d182015277233e27cbca4cf9285edb3/index.m3u8
CHC家庭影院,http://111.20.40.166/PLTV/88888893/224/3221226462/index.m3u8
CHC家庭影院,http://111.20.40.167/PLTV/88888893/224/3221226462/index.m3u8
CHC家庭影院,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw1587902162_1768667353/wd_r3/cnr/chcjtyy/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073737&ContentId=265667645&timezone=UTC&mtv_session=1e2626f9fa52e9ed0b3e629dab7d7ad3&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=950d3a482d21f43d77d58540bfd2cbad&咪咕
CHC家庭影院,http://111.20.40.166/PLTV/88888893/224/3221226462/index.m3u8
CHC高清电影,http://111.20.40.166/PLTV/88888893/224/3221226463/index.m3u8
CHC动作电影,http://111.20.40.160/PLTV/88888893/224/3221226465/1.m3u8
CHC动作电影,http://111.20.35.103:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC动作电影,https://iptv.luas.edu.cn/liverespath/e0096742f0c5be4c5225cf3c7ab1077177bec05f/5e4b901afc-0-0-715565f53f66759ce330f843dd43fe34/index.m3u8
CHC家庭影院,http://111.20.40.160/PLTV/88888893/224/3221226462/1.m3u8
CHC家庭影院,http://111.20.35.103:6610/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC家庭影院,https://iptv.luas.edu.cn/liverespath/449d51febadb152094085d373b9af94a6ac5f1dd/5da7410934-0-0-ebd053cf89c0cdc949f721a51b531956/index.m3u8
CHC高清电影,http://111.20.35.103:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CHC高清电影,http://111.20.40.160/PLTV/88888893/224/3221226463/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC高清电影,https://iptv.luas.edu.cn/liverespath/bca6167afdef7fc773405c38e695b342c1d1eca0/5bd8ab0253-0-0-2722d61b459aed02bfa20be93457ca3d/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
